vacancy_id,vacancy_name,published_at,applied_at,all_skills,hard_skills,soft_skills,tools,skill_count,hard_skill_count,soft_skill_count,tools_count,salary_from,salary_to,salary_currency,salary_gross,employer_name,employer_id,employer_url,vacancy_url,experience,employment,schedule,area
131478268,Web-программист - стажер,2026-03-23T16:25:22+0300,2026-03-23T16:25:22+0300,"figma, git, javascript, linux, mongodb, photoshop, python, react, reactjs, redis, selenium, vuejs, документооборот, развитие","git, javascript, linux, mongodb, python, react, reactjs, redis, selenium, vuejs, документооборот",развитие,"figma, photoshop",14,11,1,2,,,RUB,False,Autodata,5031522,https://api.hh.ru/employers/5031522,https://hh.ru/vacancy/131478268,Нет опыта,Полная занятость,Полный день,Алматы
131515272,Python Django developer,2026-03-24T16:13:40+0300,2026-03-24T16:13:40+0300,"ci/cd, django, docker, fastapi, git, javascript, linux, mysql, postgresql, python, react, redis, sql, vue","ci/cd, django, docker, fastapi, git, javascript, linux, mysql, postgresql, python, react, redis, sql, vue",,,14,14,0,0,,1000.0,USD,False,Spacenet Development,5325333,https://api.hh.ru/employers/5325333,https://hh.ru/vacancy/131515272,От 1 года до 3 лет,Полная занятость,Полный день,Ташкент
128414210,Инженер по тестированию,2026-03-23T09:55:31+0300,2026-03-23T09:55:31+0300,"java, javascript, jira, postman, python, sql, взаимодействие, внимательность, внимательность к деталям, ответственность","java, javascript, jira, postman, python, sql","взаимодействие, внимательность, внимательность к деталям, ответственность",,10,6,4,0,80459.0,103448.0,RUR,True,"Русские базовые информационные технологии, Научно-производственное объединение",238419,https://api.hh.ru/employers/238419,https://hh.ru/vacancy/128414210,От 3 до 6 лет,Полная занятость,Полный день,Москва
131591210,Фронтенд-разработчик в Финтех,2026-03-26T21:45:48+0300,2026-03-26T21:45:48+0300,"git, javascript, react, typescript, развитие","git, javascript, react, typescript",развитие,,5,4,1,0,,,RUB,False,Яндекс,1740,https://api.hh.ru/employers/1740,https://hh.ru/vacancy/131591210,От 3 до 6 лет,Полная занятость,Полный день,Москва
131554873,Специалист по тестированию,2026-03-25T23:14:05+0300,2026-03-25T23:14:05+0300,"ci/cd, jira, postman, sql, внимательность, зарплата, ответственность, отели, планирование, развитие","ci/cd, jira, postman, sql, зарплата, отели","внимательность, ответственность, планирование, развитие",,10,6,4,0,,,RUB,False,Медиа Бизнес Солюшенс,1449,https://api.hh.ru/employers/1449,https://hh.ru/vacancy/131554873,От 1 года до 3 лет,Полная занятость,Полный день,Москва
131575361,IT-специалист,2026-03-26T12:58:10+0300,2026-03-26T12:58:10+0300,"confluence, django, excel, google sheets, postgresql, python, sql, аналитическое мышление, внимательность, внимательность к деталям, деловое общение, инициативность, контроль, ответственность, развитие","confluence, django, postgresql, python, sql","аналитическое мышление, внимательность, внимательность к деталям, деловое общение, инициативность, контроль, ответственность, развитие","excel, google sheets",15,5,8,2,200000.0,300000.0,KZT,True,NCRM GROUP,9748797,https://api.hh.ru/employers/9748797,https://hh.ru/vacancy/131575361,Нет опыта,Полная занятость,Полный день,Алматы
131569900,Специалист по тестированию,2026-03-26T11:28:30+0300,2026-03-26T11:28:30+0300,"docker, linux, postman, sql, взаимодействие, командировки","docker, linux, postman, sql, командировки",взаимодействие,,6,5,1,0,,,RUB,False,Проектное Управление Строительными Контрактами,2871006,https://api.hh.ru/employers/2871006,https://hh.ru/vacancy/131569900,От 3 до 6 лет,Полная занятость,Полный день,Москва
131582159,Frontend-разработчик (практикант),2026-03-26T15:10:00+0300,2026-03-26T15:10:00+0300,"docker, git, next.js, nginx, react, typescript, взаимодействие, инициативность, ответственность, планирование","docker, git, next.js, nginx, react, typescript","взаимодействие, инициативность, ответственность, планирование",,10,6,4,0,,,RUB,False,Центр анализа и расследования кибер атак,2540945,https://api.hh.ru/employers/2540945,https://hh.ru/vacancy/131582159,Нет опыта,Полная занятость,Гибкий график,Астана
131560857,Фронтенд-разработчик (React),2026-03-26T08:57:58+0300,2026-03-26T08:57:58+0300,"ci/cd, docker, figma, javascript, jest, next.js, react, typescript, vite, webpack, взаимодействие, руководство","ci/cd, docker, javascript, jest, next.js, react, typescript, vite, webpack","взаимодействие, руководство",figma,12,9,2,1,4120.0,,BYR,True,Центр информационных технологий Мингорисполкома,786514,https://api.hh.ru/employers/786514,https://hh.ru/vacancy/131560857,От 1 года до 3 лет,Полная занятость,Полный день,Минск
131580078,Frontend-разработчик,2026-03-26T14:31:38+0300,2026-03-26T14:31:38+0300,"ci/cd, cypress, java, jest, kotlin, react, typescript, vite, комплаенс","ci/cd, cypress, java, jest, kotlin, react, typescript, vite, комплаенс",,,9,9,0,0,140000.0,200000.0,RUR,True,ИЦ АЙ-ТЕКО,872178,https://api.hh.ru/employers/872178,https://hh.ru/vacancy/131580078,От 3 до 6 лет,Полная занятость,Полный день,Москва
131590104,Инженер по тестированию,2026-03-26T18:48:43+0300,2026-03-26T18:48:43+0300,"1с, документооборот, контроль, работоспособность, розничные продажи","документооборот, розничные продажи","контроль, работоспособность",1с,5,2,2,1,,,RUB,False,Баусервис,28118,https://api.hh.ru/employers/28118,https://hh.ru/vacancy/131590104,От 3 до 6 лет,Полная занятость,Полный день,Москва
131554978,QA-специалист в юнит Websites (junior/middle),2026-03-25T23:43:38+0300,2026-03-25T23:43:38+0300,"figma, корпоративы, развитие",корпоративы,развитие,figma,3,1,1,1,,,RUB,False,SALT AND PEPPER,894907,https://api.hh.ru/employers/894907,https://hh.ru/vacancy/131554978,От 1 года до 3 лет,Полная занятость,Удаленная работа,Тверь
131585867,Middle Python разработчик,2026-03-26T16:27:09+0300,2026-03-26T16:27:09+0300,"bash, django, docker, git, go, jenkins, jira, k8s, kubernetes, linux, mysql, php, python, redis, shell, vue, ответственность, сервис","bash, django, docker, git, go, jenkins, jira, k8s, kubernetes, linux, mysql, php, python, redis, shell, vue","ответственность, сервис",,18,16,2,0,,200000.0,RUR,True,amoCRM,999442,https://api.hh.ru/employers/999442,https://hh.ru/vacancy/131585867,От 1 года до 3 лет,Полная занятость,Полный день,Москва
131574241,Python backend разработчик (junior),2026-03-26T12:34:57+0300,2026-03-26T12:34:57+0300,"django, docker, fastapi, git, postgresql, pytest, python, redis, sql","django, docker, fastapi, git, postgresql, pytest, python, redis, sql",,,9,9,0,0,70000.0,,RUR,False,ЭНАИО,12328955,https://api.hh.ru/employers/12328955,https://hh.ru/vacancy/131574241,От 1 года до 3 лет,Полная занятость,Полный день,Санкт-Петербург
131575238,Директор по развитию,2026-03-26T12:55:28+0300,2026-03-26T12:55:28+0300,"взаимодействие, лидерство, организация, ответственность, развитие, руководство, самостоятельность, системное мышление, стратегическое мышление",,"взаимодействие, лидерство, организация, ответственность, развитие, руководство, самостоятельность, системное мышление, стратегическое мышление",,9,0,9,0,,,RUB,False,IMOT.IO,10537564,https://api.hh.ru/employers/10537564,https://hh.ru/vacancy/131575238,От 3 до 6 лет,Полная занятость,Полный день,Москва
131553186,Директор по персоналу,2026-03-25T18:37:09+0300,2026-03-25T18:37:09+0300,"индивидуальный подход, контроль, мотивация, ответственность, планирование, развитие, эмоциональная устойчивость",индивидуальный подход,"контроль, мотивация, ответственность, планирование, развитие, эмоциональная устойчивость",,7,1,6,0,350000.0,350000.0,RUR,False,MAAR DEVELOPMENT,10581539,https://api.hh.ru/employers/10581539,https://hh.ru/vacancy/131553186,От 3 до 6 лет,Полная занятость,Полный день,Москва
131498252,Frontend-разработчик,2026-03-24T11:05:26+0300,2026-03-24T11:05:26+0300,"git, react, typescript, больничные, подарки","git, react, typescript, больничные, подарки",,,5,5,0,0,,,RUB,False,ВИЛО РУС,36522,https://api.hh.ru/employers/36522,https://hh.ru/vacancy/131498252,От 1 года до 3 лет,Полная занятость,Полный день,Москва
131564601,Middle HTML-верстальщик,2026-03-26T10:08:42+0300,2026-03-26T10:08:42+0300,"figma, git, javascript, react, развитие","git, javascript, react",развитие,figma,5,3,1,1,,,RUB,False,av.by,2776410,https://api.hh.ru/employers/2776410,https://hh.ru/vacancy/131564601,От 1 года до 3 лет,Полная занятость,Полный день,Минск
131548528,Frontend-разработчик (React),2026-03-25T16:09:54+0300,2026-03-25T16:09:54+0300,"git, javascript, react, typescript, webpack, взаимодействие, зарплата, развитие, руководство","git, javascript, react, typescript, webpack, зарплата","взаимодействие, развитие, руководство",,9,6,3,0,80000.0,100000.0,RUR,False,AT-WORK,5384844,https://api.hh.ru/employers/5384844,https://hh.ru/vacancy/131548528,От 1 года до 3 лет,Полная занятость,Полный день,Санкт-Петербург
131563486,Frontend React разработчик,2026-03-26T09:50:28+0300,2026-03-26T09:50:28+0300,"docker, git, javascript, jenkins, react, typescript, vite, взаимодействие, развитие","docker, git, javascript, jenkins, react, typescript, vite","взаимодействие, развитие",,9,7,2,0,,,RUB,False,ФинГрад,636212,https://api.hh.ru/employers/636212,https://hh.ru/vacancy/131563486,Более 6 лет,Полная занятость,Полный день,Москва
131537244,Customer care specialist,2026-03-25T12:12:30+0300,2026-03-25T12:12:30+0300,"excel, microsoft office, powerpoint",,,"excel, microsoft office, powerpoint",3,0,0,3,,,RUB,False,Kia Russia & CIS,15565,https://api.hh.ru/employers/15565,https://hh.ru/vacancy/131537244,От 1 года до 3 лет,Полная занятость,Полный день,Москва
131562805,Системный администратор инфраструктуры (серверов),2026-03-26T09:37:06+0300,2026-03-26T09:37:06+0300,"1с, 1с:предприятие, bash, linux, mysql, postgresql, prometheus, python, zabbix, взаимодействие, контроль, ответственность, планирование","bash, linux, mysql, postgresql, prometheus, python, zabbix","взаимодействие, контроль, ответственность, планирование","1с, 1с:предприятие",13,7,4,2,1000000.0,,KZT,False,Arbuz Group (Арбуз Груп),3482147,https://api.hh.ru/employers/3482147,https://hh.ru/vacancy/131562805,От 1 года до 3 лет,Полная занятость,Полный день,Алматы
131503139,Проект менеджер/Бизнес Аналитик,2026-03-24T12:27:43+0300,2026-03-24T12:27:43+0300,"confluence, figma, jira, sql, аналитическое мышление, ответственность, тайм-менеджмент","confluence, jira, sql","аналитическое мышление, ответственность, тайм-менеджмент",figma,7,3,3,1,,,RUB,False,ГУ O'ZBEKISTON RESPUBLIKASI PREZIDENTI HUZURIDAGI IJTIMOIY HIMOYA MILLIY AGENTLINING AXBOROT TEXNOLOGIYALAR MARKAZI,11275256,https://api.hh.ru/employers/11275256,https://hh.ru/vacancy/131503139,От 1 года до 3 лет,Полная занятость,Полный день,Ташкент
131530452,Java Backend Developer,2026-03-25T10:05:54+0300,2026-03-25T10:05:54+0300,"ci/cd, docker, git, java, postgresql, redis, spring, spring boot","ci/cd, docker, git, java, postgresql, redis, spring, spring boot",,,8,8,0,0,400.0,1000.0,USD,False,QRHUB,12342338,https://api.hh.ru/employers/12342338,https://hh.ru/vacancy/131530452,От 1 года до 3 лет,Полная занятость,Полный день,Ташкент
131566836,Специалист по информационной безопасности (middle+),2026-03-26T10:46:11+0300,2026-03-26T10:46:11+0300,контроль,,контроль,,1,0,1,0,,,RUB,False,R-Style Softlab (Эр-Стайл Софтлаб),2419,https://api.hh.ru/employers/2419,https://hh.ru/vacancy/131566836,От 1 года до 3 лет,Полная занятость,Полный день,Москва
131559349,Инженер Технической поддержки,2026-03-26T08:13:44+0300,2026-03-26T08:13:44+0300,"1с, microsoft office, sql, взаимодействие, контроль",sql,"взаимодействие, контроль","1с, microsoft office",5,1,2,2,,,RUB,False,Arbuz Group (Арбуз Груп),3482147,https://api.hh.ru/employers/3482147,https://hh.ru/vacancy/131559349,От 1 года до 3 лет,Полная занятость,Полный день,Алматы
131565325,Юрист,2026-03-26T10:20:53+0300,2026-03-26T10:20:53+0300,"postgresql, взаимодействие, внимательность, корпоративное право, организация, организация мероприятий, работа с поставщиками, самостоятельность","postgresql, корпоративное право, организация мероприятий, работа с поставщиками","взаимодействие, внимательность, организация, самостоятельность",,8,4,4,0,,,RUB,False,Postgres Professional,2261513,https://api.hh.ru/employers/2261513,https://hh.ru/vacancy/131565325,От 3 до 6 лет,Полная занятость,Полный день,Москва
131556609,Frontend-разработчик,2026-03-26T05:50:36+0300,2026-03-26T05:50:36+0300,"javascript, react, reactjs, typescript, высшее образование, контроль, развитие","javascript, react, reactjs, typescript, высшее образование","контроль, развитие",,7,5,2,0,,170000.0,RUR,False,ИЦ АЙ-ТЕКО,872178,https://api.hh.ru/employers/872178,https://hh.ru/vacancy/131556609,Более 6 лет,Полная занятость,Полный день,Москва
